datetime,open,high,low,close,volume
2024-10-01,25788.4492,25907.5996,25739.1992,25796.9004,247400
2024-10-03,25452.8496,25639.4492,25230.3008,25250.0996,423400
2024-10-04,25181.9004,25485.0508,24966.8008,25014.5996,374900
2024-10-07,25084.0996,25143.0,24694.3496,24795.75,374300
2024-10-08,24832.1992,25044.0,24756.8008,25013.1504,333200
2024-10-09,25065.8008,25234.0508,24947.6992,24981.9492,290600
2024-10-10,25067.0508,25134.0508,24979.4004,24998.4492,261400
2024-10-11,24985.3008,25028.6504,24920.0508,24964.25,210500
2024-10-14,25023.4492,25159.75,25017.5,25127.9492,206400
2024-10-15,25186.3008,25212.0508,25008.1504,25057.3496,257200
2024-10-16,25008.5508,25093.4004,24908.4492,24971.3008,226800
2024-10-17,25027.4004,25029.5,24728.9004,24749.8496,252800
2024-10-18,24664.9492,24886.1992,24567.6504,24854.0508,290900
2024-10-21,24956.1504,24978.3008,24679.5996,24781.0996,242000
2024-10-22,24798.6504,24882.0,24445.8008,24472.0996,279500
2024-10-23,24378.1504,24604.25,24378.0996,24435.5,284600
2024-10-24,24412.6992,24480.6504,24341.1992,24399.4004,216700
2024-10-25,24418.0508,24440.25,24073.9004,24180.8008,372600
2024-10-28,24251.0996,24492.5996,24134.9004,24339.1504,278600
2024-10-29,24328.8496,24484.5,24140.8496,24466.8496,332000
2024-10-30,24371.4492,24498.1992,24307.3008,24340.8496,285200
2024-10-31,24349.8496,24372.4492,24172.5996,24205.3496,287000
2024-11-01,24302.75,24368.25,24280.1992,24304.3496,38800
2024-11-04,24315.75,24316.75,23816.1504,23995.3496,285500
2024-11-05,23916.5,24229.0508,23842.75,24213.3008,289500
2024-11-06,24308.75,24537.5996,24204.0508,24484.0508,351100
2024-11-07,24489.5996,24503.3496,24179.0508,24199.3496,322200
2024-11-08,24207.6992,24276.1504,24066.6504,24148.1992,298700
2024-11-11,24087.25,24336.8008,24004.5996,24141.3008,273400
2024-11-12,24225.8008,24242.0,23839.1504,23883.4492,255800
2024-11-13,23822.4492,23873.5996,23509.5996,23559.0508,304600
2024-11-14,23542.1504,23675.9004,23484.1504,23532.6992,257700
2024-11-18,23605.3008,23606.8008,23350.4004,23453.8008,263300
2024-11-19,23529.5508,23780.6504,23464.8008,23518.5,297500
2024-11-21,23488.4492,23507.3008,23263.1504,23349.9004,420300
2024-11-22,23411.8008,23956.0996,23359.0,23907.25,367600
2024-11-25,24253.5508,24351.5508,24135.4492,24221.9004,687200
2024-11-26,24343.3008,24343.3008,24125.4004,24194.5,230700
2024-11-27,24204.8008,24354.5508,24145.6504,24274.9004,295000
2024-11-28,24274.1504,24345.75,23873.3496,23914.1504,366700
2024-11-29,23927.1504,24188.4492,23927.1504,24131.0996,282100
2024-12-02,24140.8496,24301.6992,24008.6504,24276.0508,220400
2024-12-03,24367.5,24481.3496,24280.0,24457.1504,339500
2024-12-04,24488.75,24573.1992,24366.3008,24467.4492,348000
2024-12-05,24539.1504,24857.75,24295.5508,24708.4004,361500
2024-12-06,24729.4492,24751.0508,24620.5,24677.8008,226700
2024-12-09,24633.9004,24705.0,24580.0508,24619.0,248100
2024-12-10,24652.6504,24677.8008,24510.6504,24610.0508,261000
2024-12-11,24620.5,24691.75,24583.8496,24641.8008,187300
2024-12-12,24604.4492,24675.25,24527.9492,24548.6992,266100
2024-12-13,24498.3496,24792.3008,24180.8008,24768.3008,310100
2024-12-16,24753.4004,24781.25,24601.75,24668.25,187600
2024-12-17,24584.8008,24624.0996,24303.4492,24336.0,264900
2024-12-18,24297.9492,24394.4492,24149.8496,24198.8496,235300
2024-12-19,23877.1504,24004.9004,23870.3008,23951.6992,271100
2024-12-20,23960.6992,24065.8008,23537.3496,23587.5,442700
2024-12-23,23738.1992,23869.5508,23647.1992,23753.4492,189800
2024-12-24,23769.0996,23867.6504,23685.1504,23727.6504,177700
2024-12-26,23775.8008,23854.5,23653.5996,23750.1992,177700
2024-12-27,23801.4004,23938.8496,23800.5996,23813.4004,176800
2024-12-30,23796.9004,23915.3496,23599.3008,23644.9004,364900
2024-12-31,23560.5996,23689.8496,23460.4492,23644.8008,193600
2025-01-01,23637.6504,23822.8008,23562.8008,23742.9004,154900
2025-01-02,23783.0,24226.6992,23751.5508,24188.6504,283200
2025-01-03,24196.4004,24196.4492,23976.0,24004.75,312300
2025-01-06,24045.8008,24089.9492,23551.9004,23616.0508,278100
